Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Bob Davies,1,16,608.4,0.1,0.6,0.7,0.0,18.361,0.408,0.12,0.354,0.12,0.12,0.12,0.12,0.12,18.738,0.12,0.12,0.12,0.12,0.12,0.12,0
Carl Braun,1,5,216.4,0.7,-0.1,0.6,0.0,18.58,0.502,0.139,0.559,0.139,0.139,0.139,0.139,0.139,25.28,0.139,0.139,0.139,0.139,0.139,0.139,0
Dick McGuire,1,19,741.2,0.3,0.3,0.6,0.0,15.861,0.395,0.113,0.62,0.113,0.113,0.113,0.113,0.113,21.504,0.113,0.113,0.113,0.113,0.113,0.113,0
George Mikan,1,19,740.8,3.3,1.4,4.8,0.0,19.888,0.48,0.157,0.478,0.157,0.157,0.157,0.157,0.157,17.6,0.157,0.157,0.157,0.157,0.157,0.157,0
Jim Pollard,1,19,720.2,-0.7,1.2,0.6,0.0,17.174,0.369,0.127,0.327,0.127,0.127,0.127,0.127,0.127,19.215,0.127,0.127,0.127,0.127,0.127,0.127,0
Joe Fulks,1,4,123.2,-0.4,0.1,-0.2,0.0,13.114,0.328,0.019,0.46,0.019,0.019,0.019,0.019,0.019,18.707,0.019,0.019,0.019,0.019,0.019,0.019,0
Slater Martin,1,19,740.6,0.4,0.8,1.2,0.0,18.923,0.439,0.15,0.498,0.15,0.15,0.15,0.15,0.15,16.911,0.15,0.15,0.15,0.15,0.15,0.15,0
Bob Cousy,1,2,67.8,-0.4,0.1,-0.3,0.0,13.06,0.296,0.004,0.286,0.004,0.004,0.004,0.004,0.004,19.84,0.004,0.004,0.004,0.004,0.004,0.004,0
Chuck Cooper,1,2,55.4,-0.1,0.1,0.0,0.0,13.18,0.352,0.038,0.417,0.038,0.038,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,0.038,0.038,0
Ed Macauley,1,2,55.4,0.3,0.1,0.4,0.0,13.18,0.511,0.038,0.444,0.038,0.038,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,0.038,0.038,0
Paul Arizin,1,2,57.6,0.4,0.0,0.5,0.0,14.84,0.602,0.071,0.593,0.071,0.071,0.071,0.071,0.071,19.62,0.071,0.071,0.071,0.071,0.071,0.071,0
Bob Cousy*,1,107,4120.0,2.0,7.6,9.3,0.0,17.398,0.43,0.099,0.408,5.009,0.109,1.376,3.408,1.974,33.57,0.35,0.263,2.988,0.378,0.065,0.354,0
Bob Davies*,1,18,571.0,0.2,0.6,0.8,0.0,13.578,0.435,0.066,0.503,0.066,0.066,0.066,0.066,0.066,27.057,0.066,0.066,0.066,0.066,0.066,0.066,0
Chuck Cooper*,1,24,490.0,0.2,0.2,0.5,0.0,10.374,0.482,0.052,0.588,0.052,0.052,0.052,0.052,0.052,10.369,0.052,0.052,0.052,0.052,0.052,0.052,0
Dick McGuire*,1,44,1436.0,2.2,1.0,3.0,0.0,15.708,0.49,0.101,0.686,0.101,0.101,0.101,0.101,0.101,32.019,0.101,0.101,0.101,0.101,0.101,0.101,0
Ed Macauley*,1,45,1414.0,3.4,0.5,4.0,0.0,17.375,0.516,0.134,0.606,0.134,0.134,0.134,0.134,0.134,16.892,0.134,0.134,0.134,0.134,0.134,0.134,0
George Mikan*,1,41,1500.0,3.5,4.5,8.0,0.0,28.492,0.487,0.254,0.515,0.254,0.254,0.254,0.254,0.254,14.236,0.254,0.254,0.254,0.254,0.254,0.254,0
Jim Pollard*,1,43,1724.0,0.5,3.5,4.0,0.0,16.929,0.439,0.114,0.364,0.114,0.114,0.114,0.114,0.114,16.946,0.114,0.114,0.114,0.114,0.114,0.114,0
Joe Fulks*,1,3,70.0,-0.5,0.0,-0.6,0.0,-3.7,0.23,-0.398,0.273,-0.398,-0.398,-0.398,-0.398,-0.398,5.7,-0.398,-0.398,-0.398,-0.398,-0.398,-0.398,0
