Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
1949-1950,Bob Davies,2,55.4,13.18,0.365,0.038,0.471,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,0.0,-0.1,-0.1,0.038,0.038,0.038,0.038,,0,1
1949-1950,Carl Braun,5,216.4,18.58,0.502,0.139,0.559,0.139,0.139,0.139,25.28,0.139,0.139,0.139,0.139,0.7,-0.1,0.6,0.139,0.139,0.139,0.139,,0,1
1949-1950,Dick McGuire,5,196.8,15.92,0.497,0.103,0.5,0.103,0.103,0.103,21.24,0.103,0.103,0.103,0.103,0.5,-0.1,0.4,0.103,0.103,0.103,0.103,,0,1
1949-1950,George Mikan,12,488.6,22.08,0.481,0.192,0.538,0.192,0.192,0.192,15.68,0.192,0.192,0.192,0.192,2.5,1.2,3.7,0.192,0.192,0.192,0.192,,0,1
1949-1950,Jim Pollard,12,468.0,18.0,0.356,0.148,0.354,0.148,0.148,0.148,18.08,0.148,0.148,0.148,0.148,-0.5,1.0,0.5,0.148,0.148,0.148,0.148,,0,1
1949-1950,Joe Fulks,2,67.8,13.06,0.247,0.004,0.385,0.004,0.004,0.004,19.84,0.004,0.004,0.004,0.004,-0.4,0.1,-0.3,0.004,0.004,0.004,0.004,,0,1
1949-1950,Slater Martin,12,471.6,20.34,0.462,0.172,0.48,0.172,0.172,0.172,16.94,0.172,0.172,0.172,0.172,0.4,0.6,1.0,0.172,0.172,0.172,0.172,,0,1
1950-1951,Bob Cousy,2,67.8,13.06,0.296,0.004,0.286,0.004,0.004,0.004,19.84,0.004,0.004,0.004,0.004,-0.4,0.1,-0.3,0.004,0.004,0.004,0.004,,0,1
1950-1951,Bob Davies,14,553.0,18.88,0.412,0.128,0.342,0.128,0.128,0.128,18.88,0.128,0.128,0.128,0.128,0.1,0.7,0.8,0.128,0.128,0.128,0.128,,0,1
1950-1951,Chuck Cooper,2,55.4,13.18,0.352,0.038,0.417,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,-0.1,0.1,0.0,0.038,0.038,0.038,0.038,,0,1
1950-1951,Dick McGuire,14,544.4,15.84,0.358,0.116,0.663,0.116,0.116,0.116,21.6,0.116,0.116,0.116,0.116,-0.2,0.4,0.2,0.116,0.116,0.116,0.116,,0,1
1950-1951,Ed Macauley,2,55.4,13.18,0.511,0.038,0.444,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,0.3,0.1,0.4,0.038,0.038,0.038,0.038,,0,1
1950-1951,George Mikan,7,252.2,15.64,0.477,0.089,0.362,0.089,0.089,0.089,21.32,0.089,0.089,0.089,0.089,0.8,0.2,1.1,0.089,0.089,0.089,0.089,,0,1
1950-1951,Jim Pollard,7,252.2,15.64,0.392,0.089,0.278,0.089,0.089,0.089,21.32,0.089,0.089,0.089,0.089,-0.2,0.2,0.1,0.089,0.089,0.089,0.089,,0,1
1950-1951,Joe Fulks,2,55.4,13.18,0.427,0.038,0.551,0.038,0.038,0.038,17.32,0.038,0.038,0.038,0.038,0.0,0.0,0.1,0.038,0.038,0.038,0.038,,0,1
1950-1951,Paul Arizin,2,57.6,14.84,0.602,0.071,0.593,0.071,0.071,0.071,19.62,0.071,0.071,0.071,0.071,0.4,0.0,0.5,0.071,0.071,0.071,0.071,,0,1
1950-1951,Slater Martin,7,269.0,16.44,0.398,0.112,0.529,0.112,0.112,0.112,16.86,0.112,0.112,0.112,0.112,0.0,0.2,0.2,0.112,0.112,0.112,0.112,,0,1
1951-1952,Bob Cousy*,3,138.0,25.4,0.551,0.227,0.677,0.227,0.227,0.227,32.1,0.227,0.227,0.227,0.227,0.6,0.0,0.7,0.227,0.227,0.227,0.227,,0,1
1951-1952,Bob Davies*,6,233.0,20.6,0.512,0.187,0.598,0.187,0.187,0.187,30.0,0.187,0.187,0.187,0.187,0.6,0.3,0.9,0.187,0.187,0.187,0.187,,0,1
1951-1952,Chuck Cooper*,3,128.0,8.0,0.495,0.055,0.76,0.055,0.055,0.055,5.6,0.055,0.055,0.055,0.055,0.1,0.0,0.1,0.055,0.055,0.055,0.055,,0,1
1951-1952,Dick McGuire*,14,546.0,16.0,0.501,0.1,0.804,0.1,0.1,0.1,34.3,0.1,0.1,0.1,0.1,0.8,0.4,1.1,0.1,0.1,0.1,0.1,,0,1
