Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Bob Davies,1,402,12533.8,28.3,12.8,41.2,0.0,17.952,0.459,0.145,0.447,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0,0,0,0,0,3,0,0,2,1,0,0
Carl Braun,1,684,20243.6,37.8,14.8,52.8,0.0,15.604,0.47,0.114,0.362,0.594,0.115,0.302,0.554,0.368,0.381,0.137,0.174,0.445,0.079,0.123,0.088,0,0,0,0,0,5,0,0,0,1,0,0
Dick McGuire,1,738,21047.4,29.6,21.3,51.0,0.0,15.755,0.455,0.119,0.546,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0,0,0,0,0,6,0,0,0,0,0,0
Ed Macauley,1,641,21877.0,84.4,16.3,100.5,0.0,19.684,0.524,0.185,0.579,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0,0,0,0,0,6,0,0,2,1,0,0
George Mikan,1,379,12467.6,52.3,35.5,87.8,0.0,23.147,0.477,0.208,0.437,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0,0,0,0,0,3,0,0,4,0,0,0
Jim Pollard,1,385,13109.8,1.4,26.2,27.7,0.0,15.443,0.405,0.098,0.24,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0,0,0,0,0,4,0,0,1,2,0,0
Joe Fulks,1,326,8874.6,-11.1,10.5,-0.7,0.0,13.145,0.375,0.037,0.295,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0,0,0,0,0,1,0,0,0,0,0,0
Slater Martin,1,745,25765.2,19.0,28.5,47.6,0.0,12.028,0.435,0.091,0.375,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0,0,0,0,0,7,0,0,0,5,0,0
Bob Cousy,1,924,32478.4,40.6,50.4,91.0,0.0,19.695,0.447,0.125,0.356,2.822,0.141,1.176,2.51,1.726,1.95,0.342,0.376,2.043,0.268,0.162,0.304,1,0,0,0,0,13,0,0,10,2,0,0
Chuck Cooper,1,409,10236.6,2.6,9.1,11.6,0.0,12.249,0.418,0.064,0.42,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0,0,0,0,0,0,0,0,0,0,0,0
