Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1949-1950,Bob Davies,64,,,0.43,,0.391,,,,,,,,,4.7,2.9,7.7,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
1949-1950,Carl Braun,67,,,0.434,,0.365,,,,,,,,,5.2,1.9,7.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1949-1950,Dick McGuire,68,,,0.417,,0.556,,,,,,,,,3.4,1.9,5.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1949-1950,Ed Macauley,67,,,0.485,,0.599,,,,,,,,,9.7,0.9,10.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1949-1950,George Mikan,68,,,0.487,,0.456,,,,,,,,,15.3,5.8,21.1,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
1949-1950,Jim Pollard,66,,,0.39,,0.212,,,,,,,,,1.2,4.1,5.4,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
1949-1950,Joe Fulks,68,,,0.346,,0.348,,,,,,,,,-4.4,3.7,-0.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1949-1950,Slater Martin,67,,,0.395,,0.308,,,,,,,,,0.9,2.6,3.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Bob Cousy,69,,,0.415,,0.321,,,,,,,,,2.2,1.8,3.9,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Bob Davies,63,,,0.457,,0.434,,,,,,,,,5.3,1.6,6.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Chuck Cooper,66,,,0.428,,0.444,,,,,,,,,1.9,1.4,3.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Dick McGuire,64,,,0.445,,0.573,,,,,,,,,3.3,1.2,4.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Ed Macauley,68,,,0.551,,0.623,,,,,,,,,14.1,1.8,15.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,George Mikan,68,,,0.509,,0.453,,,,,,,,,16.0,7.4,23.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Jim Pollard,54,,,0.395,,0.214,,,,,,,,,0.1,4.1,4.2,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Joe Fulks,66,,,0.398,,0.325,,,,,,,,,-0.2,4.5,4.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Paul Arizin,65,,,0.512,,0.609,,,,,,,,,9.2,4.5,13.7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1950-1951,Slater Martin,68,,,0.408,,0.282,,,,,,,,,1.1,3.1,4.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1951-1952,Bob Cousy,66,2681.0,21.5,0.445,,0.365,,,,,,,,,4.9,2.8,7.7,0.138,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1
1951-1952,Bob Davies,65,2394.0,17.5,0.455,,0.383,,,,,,,,,4.7,1.6,6.3,0.126,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1
1951-1952,Chuck Cooper,66,1976.0,12.7,0.429,,0.369,,,,,,,,,1.1,2.1,3.1,0.076,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1951-1952,Dick McGuire,64,2018.0,19.0,0.491,,0.612,,,,,,,,,4.7,1.9,6.6,0.157,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
1951-1952,Ed Macauley,66,2631.0,22.7,0.544,,0.699,,,,,,,,,11.3,2.6,13.8,0.252,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1
1951-1952,George Mikan,64,2572.0,26.6,0.459,,0.393,,,,,,,,,6.4,8.0,14.4,0.268,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1
1951-1952,Jim Pollard,65,2545.0,16.5,0.396,,0.225,,,,,,,,,-0.9,6.6,5.7,0.108,,,,,0,1,0,0,0,1,0,0,0,0,0,0,1
1951-1952,Joe Fulks,61,1904.0,11.9,0.381,,0.281,,,,,,,,,-2.5,0.7,-1.8,-0.045,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
1951-1952,Neil Johnston,64,993.0,18.9,0.523,,0.505,,,,,,,,,2.9,0.5,3.4,0.163,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
