Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
1949-1950,Al Cervi,11,248.0,18.66,0.476,0.174,0.676,0.174,0.174,0.174,13.44,0.174,0.174,0.174,0.174,0.7,0.4,1.1,0.174,0.174,0.174,0.174,,0,0
1949-1950,Al Guokas,2,41.4,11.18,0.452,0.054,1.5,0.054,0.054,0.054,16.92,0.054,0.054,0.054,0.054,0.1,0.1,0.1,0.054,0.054,0.054,0.054,,0,0
1949-1950,Alex Groza,6,167.2,14.5,0.685,0.14,0.797,0.14,0.14,0.14,10.78,0.14,0.14,0.14,0.14,2.2,0.0,2.2,0.14,0.14,0.14,0.14,,0,0
1949-1950,Alex Hannum,11,385.0,16.66,0.461,0.135,0.395,0.135,0.135,0.135,14.04,0.135,0.135,0.135,0.135,0.5,0.3,0.8,0.135,0.135,0.135,0.135,,0,0
1949-1950,Andrew Levane,9,253.2,9.14,0.395,-0.005,0.135,-0.005,-0.005,-0.005,10.04,-0.005,-0.005,-0.005,-0.005,0.0,0.1,0.1,-0.005,-0.005,-0.005,-0.005,,0,0
1949-1950,Andy Duncan,2,55.8,21.18,0.773,0.248,0.667,0.248,0.248,0.248,15.76,0.248,0.248,0.248,0.248,0.1,0.0,0.1,0.248,0.248,0.248,0.248,,0,0
1949-1950,Andy Phillip,2,50.0,12.08,0.367,-0.021,0.481,-0.021,-0.021,-0.021,16.06,-0.021,-0.021,-0.021,-0.021,0.0,0.0,-0.1,-0.021,-0.021,-0.021,-0.021,,0,0
1949-1950,Arnie Ferrin,12,327.6,10.48,0.374,0.027,0.299,0.027,0.027,0.027,14.96,0.027,0.027,0.027,0.027,-0.1,0.8,0.7,0.027,0.027,0.027,0.027,,0,0
1949-1950,Arnie Johnson,2,61.4,19.12,0.579,0.182,1.0,0.182,0.182,0.182,23.4,0.182,0.182,0.182,0.182,0.2,-0.1,0.2,0.182,0.182,0.182,0.182,,0,0
1949-1950,Arnie Risen,2,71.4,15.02,0.449,0.086,0.789,0.086,0.086,0.086,14.52,0.086,0.086,0.086,0.086,0.1,0.0,0.1,0.086,0.086,0.086,0.086,,0,0
1949-1950,Bill Closs,8,153.0,10.04,0.372,0.013,0.275,0.013,0.013,0.013,13.22,0.013,0.013,0.013,0.013,-0.2,0.7,0.5,0.013,0.013,0.013,0.013,,0,0
1949-1950,Bill Gabor,10,277.2,8.42,0.343,-0.006,0.32,-0.006,-0.006,-0.006,12.16,-0.006,-0.006,-0.006,-0.006,-0.4,0.3,-0.1,-0.006,-0.006,-0.006,-0.006,,0,0
1949-1950,Bill Henry,3,51.8,3.14,0.215,-0.111,0.529,-0.111,-0.111,-0.111,7.82,-0.111,-0.111,-0.111,-0.111,-0.3,0.0,-0.2,-0.111,-0.111,-0.111,-0.111,,0,0
1949-1950,Billy Hassett,7,131.2,9.64,0.274,0.005,0.833,0.005,0.005,0.005,16.52,0.005,0.005,0.005,0.005,-0.1,0.1,0.0,0.005,0.005,0.005,0.005,,0,0
1949-1950,Bob Brannum,3,107.4,14.12,0.415,0.067,0.465,0.067,0.067,0.067,17.56,0.067,0.067,0.067,0.067,0.1,0.0,0.1,0.067,0.067,0.067,0.067,,0,0
1949-1950,Bob Carpenter,4,85.4,10.8,0.442,0.029,0.467,0.029,0.029,0.029,18.94,0.029,0.029,0.029,0.029,0.1,0.1,0.2,0.029,0.029,0.029,0.029,,0,0
1949-1950,Bob Davies,2,50.0,12.08,0.365,-0.021,0.471,-0.021,-0.021,-0.021,16.06,-0.021,-0.021,-0.021,-0.021,0.0,-0.1,-0.1,-0.021,-0.021,-0.021,-0.021,,0,1
1949-1950,Bob Evans,2,37.6,2.92,0.25,-0.152,0.0,-0.152,-0.152,-0.152,13.64,-0.152,-0.152,-0.152,-0.152,0.0,0.0,0.0,-0.152,-0.152,-0.152,-0.152,,0,0
