Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1949-1950,Al Cervi,56,,,0.491,,0.803,,,,,,,,,5.9,3.4,9.3,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0
1949-1950,Al Guokas,57,,,0.333,,0.167,,,,,,,,,-0.9,-0.1,-1.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Al Miksis,8,,,0.446,,1.0,,,,,,,,,0.2,0.0,0.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Alex Groza,64,,,0.548,,0.572,,,,,,,,,16.5,1.4,17.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Alex Hannum,64,,,0.423,,0.381,,,,,,,,,2.0,3.2,5.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Andrew Levane,60,,,0.365,,0.203,,,,,,,,,-0.2,2.0,1.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Andy Duncan,67,,,0.461,,0.374,,,,,,,,,2.0,1.4,3.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Andy O'Donnell,25,,,0.388,,0.167,,,,,,,,,0.1,0.3,0.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Andy Phillip,65,,,0.406,,0.332,,,,,,,,,3.1,4.6,7.7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Ariel Maughan,68,,,0.359,,0.357,,,,,,,,,-1.1,0.6,-0.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Arnie Ferrin,63,,,0.383,,0.275,,,,,,,,,0.2,2.3,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Arnie Johnson,68,,,0.493,,0.782,,,,,,,,,4.8,2.4,7.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Arnie Risen,62,,,0.423,,0.537,,,,,,,,,2.4,2.2,4.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Art Spector,7,,,0.182,,0.333,,,,,,,,,-0.2,0.0,-0.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Belus Smawley,61,,,0.43,,0.377,,,,,,,,,4.3,0.8,5.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Calhoun,62,,,0.439,,0.37,,,,,,,,,3.0,1.5,4.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Closs,64,,,0.372,,0.288,,,,,,,,,-0.5,4.9,4.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Gabor,56,,,0.395,,0.34,,,,,,,,,0.7,2.8,3.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Henry,63,,,0.416,,0.633,,,,,,,,,1.0,1.5,2.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Herman,13,,,0.401,,0.169,,,,,,,,,0.1,-0.1,0.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bill Roberts,67,,,0.38,,0.176,,,,,,,,,-0.1,0.3,0.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Billy Hassett,60,,,0.365,,0.533,,,,,,,,,0.0,1.8,1.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Blackie Towery,68,,,0.389,,0.298,,,,,,,,,0.7,1.9,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Brannum,59,,,0.408,,0.494,,,,,,,,,2.1,-0.5,1.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Brown,62,,,0.414,,0.33,,,,,,,,,2.1,-0.9,1.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Carpenter,66,,,0.421,,0.415,,,,,,,,,2.2,2.8,5.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Davies,64,,,0.43,,0.391,,,,,,,,,4.7,2.9,7.7,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
1949-1950,Bob Doll,47,,,0.397,,0.329,,,,,,,,,0.7,0.9,1.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Evans,47,,,0.324,,0.22,,,,,,,,,-0.8,0.5,-0.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Feerick,60,,,0.419,,0.348,,,,,,,,,2.1,1.6,3.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Harris,62,,,0.423,,0.48,,,,,,,,,2.1,3.0,5.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Harrison,66,,,0.394,,0.213,,,,,,,,,0.7,2.7,3.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Kinney,60,,,0.438,,0.515,,,,,,,,,3.2,1.6,4.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Royer,42,,,0.384,,0.251,,,,,,,,,0.3,-0.3,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Tough,29,,,0.331,,0.261,,,,,,,,,-0.6,0.0,-0.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bob Wood,6,,,0.242,,0.071,,,,,,,,,-0.1,0.0,-0.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bobby Cook,51,,,0.42,,0.292,,,,,,,,,2.1,-0.3,1.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bobby Wanzer,67,,,0.515,,0.572,,,,,,,,,8.6,1.9,10.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bones McKinney,53,,,0.352,,0.241,,,,,,,,,-1.5,1.7,0.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Brady Walker,68,,,0.401,,0.196,,,,,,,,,0.9,1.0,1.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bruce Hale,64,,,0.444,,0.464,,,,,,,,,4.1,1.1,5.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Bud Grant,35,,,0.371,,0.148,,,,,,,,,-0.1,0.6,0.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Buddy Jeannette,37,,,0.467,,0.899,,,,,,,,,1.9,0.7,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Butch van Breda Kolff,56,,,0.456,,0.802,,,,,,,,,1.6,0.7,2.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Carl Braun,67,,,0.434,,0.365,,,,,,,,,5.2,1.9,7.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1949-1950,Carl Shaeffer,43,,,0.405,,0.356,,,,,,,,,0.4,0.4,0.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Charley Shipp,23,,,0.336,,0.372,,,,,,,,,-0.4,-0.2,-0.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Charlie Black,65,,,0.346,,0.395,,,,,,,,,-2.2,5.0,2.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Charlie Parsley,9,,,0.323,,0.226,,,,,,,,,-0.1,0.1,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Chick Halbert,68,,,0.454,,0.616,,,,,,,,,2.4,1.2,3.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Chick Reiser,67,,,0.4,,0.393,,,,,,,,,1.7,2.2,3.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Chink Crossin,64,,,0.363,,0.176,,,,,,,,,-0.6,2.7,2.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Chips Sobek,60,,,0.507,,0.817,,,,,,,,,3.4,-0.2,3.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Chuck Gilmur,68,,,0.431,,0.636,,,,,,,,,2.3,2.0,4.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Cliff Barker,49,,,0.435,,0.387,,,,,,,,,1.6,0.6,2.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Clint Wager,63,,,0.32,,0.232,,,,,,,,,-0.8,2.2,1.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Connie Simmons,60,,,0.395,,0.41,,,,,,,,,0.9,1.5,2.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,Curly Armstrong,63,,,0.368,,0.467,,,,,,,,,-0.1,3.6,3.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1950,D.C. Wilcutt,37,,,0.421,,0.575,,,,,,,,,0.5,0.1,0.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
